"","X1","probs","quinteto","Year","Player","Pos"
"228",74,0.0184899545885691,0,2015,"Corey Brewer","SF"
"229",16,0.0180433260077721,0,2015,"Lou Amundson","PF"
"230",305,0.0175380012355942,0,2015,"Chris Johnson","SF"
"231",116,0.0174609728746007,0,2015,"Victor Claver","SF"
"232",7,0.0171826772496746,0,2015,"Arron Afflalo","SG"
"233",203,0.0171778854823263,0,2015,"Danilo Gallinari","SF"
"234",85,0.0170287895077993,0,2015,"Trey Burke","PG"
"235",481,0.0169017808338208,0,2015,"Tayshaun Prince","SF"
"236",300,0.0166647754944712,0,2015,"Grant Jerrett","PF"
"237",38,0.0166573283012077,0,2015,"Harrison Barnes","SF"
"238",76,0.0164517313590092,0,2015,"Jabari Brown","SG"
"239",389,0.016422470524273,0,2015,"C.J. Miles","SG"
"240",366,0.0162961273593533,0,2015,"Kenyon Martin","PF"
"241",372,0.0161789548781041,0,2015,"James Michael","PF"
"242",479,0.016053531346004,0,2015,"Tayshaun Prince","SF"
"243",411,0.0159848760111769,0,2015,"Timofey Mozgov","C"
"244",224,0.0158886105968591,0,2015,"Eric Gordon","SG"
"245",144,0.015702581122892,0,2015,"Luigi Datome","SF"
"246",298,0.0154481837622681,0,2015,"Jonas Jerebko","PF"
"247",326,0.0153291037969305,0,2015,"Sean Kilpatrick","SG"
"248",127,0.0152179405636117,0,2015,"Robert Covington","SF"
"249",79,0.0152178055532788,0,2015,"Shannon Brown","SG"
"250",171,0.0152092221863234,0,2015,"Larry Drew","PG"
"251",397,0.0151625198361233,0,2015,"Quincy Miller","PF"
"252",111,0.0151468218807541,0,2015,"Earl Clark","PF"
"253",160,0.0149227240561384,0,2015,"Gorgui Dieng","C"
"254",396,0.0146973606135679,0,2015,"Quincy Miller","PF"
"255",583,0.0142956659622123,0,2015,"Tristan Thompson","PF"
"256",527,0.0142892259434676,0,2015,"Iman Shumpert","SG"
"257",560,0.0142822781353501,0,2015,"Jarnell Stokes","PF"
"258",342,0.0138264483898056,0,2015,"Ricky Ledo","SG"
"259",401,0.013625027890918,0,2015,"Nikola Mirotic","PF"
"260",142,0.0134535323477631,0,2015,"Luigi Datome","SF"
"261",266,0.0133442455247968,0,2015,"Nene Hilario","PF"
"262",554,0.0133247210966346,0,2015,"Marreese Speights","C"
"263",50,0.0129257100134891,0,2015,"Michael Beasley","PF"
"264",642,0.0128766940069031,0,2015,"Brandan Wright","PF"
"265",13,0.0128754547920642,0,2015,"Tony Allen","SG"
"266",618,0.0128486318032526,0,2015,"Shayne Whittington","PF"
