"","probs","quinteto","Year","Player"
"147",0.200571081688732,0,2015,"Brandon Davies"
"66",0.200278011160004,0,2015,"Matt Bonner"
"461",0.199705446789563,0,2015,"Miles Plumlee"
"331",0.198705954847232,0,2015,"Brandon Knight"
"49",0.198394477641344,0,2015,"Bradley Beal"
"429",0.195921693949304,0,2015,"Nerlens Noel"
"127",0.192269728479261,0,2015,"Robert Covington"
"132",0.192182825120534,0,2015,"Jae Crowder"
"240",0.191199223866835,0,2015,"Jorge Gutierrez"
"364",0.187262402286199,0,2015,"Kendall Marshall"
"99",0.18446657702317,0,2015,"Clint Capela"
"171",0.183844737695252,0,2015,"Larry Drew"
"371",0.18326123637139,0,2015,"Luc Mbah"
"327",0.180669300249733,0,2015,"Andrei Kirilenko"
"121",0.180418651243516,0,2015,"Nick Collison"
"333",0.180399854761507,0,2015,"Kosta Koufos"
"335",0.179200855972448,0,2015,"Jeremy Lamb"
"40",0.178065443307867,0,2015,"Earl Barron"
"24",0.177671110270486,0,2015,"Joel Anthony"
"289",0.174628211882326,0,2015,"Bernard James"
"296",0.174456110344589,0,2015,"Jonas Jerebko"
"134",0.173925257273653,0,2015,"Jared Cunningham"
"350",0.17267185588837,0,2015,"Jon Leuer"
"543",0.172254376704477,0,2015,"J.R. Smith"
"517",0.171984407711635,0,2015,"Larry Sanders"
"25",0.170569805992269,0,2015,"Pero Antic"
"124",0.170183941627273,0,2015,"Chris Copeland"
"431",0.170061772548514,0,2015,"Steve Novak"
"258",0.168111351760367,0,2015,"Chuck Hayes"
"485",0.167828959074814,0,2015,"Shavlik Randolph"
"583",0.167108407675834,0,2015,"Tristan Thompson"
"382",0.164941710575166,0,2015,"JaVale McGee"
"234",0.16245363730087,0,2015,"JaMychal Green"
"634",0.16233639156407,0,2015,"Shawne Williams"
"31",0.161994373220867,0,2015,"D.J. Augustin"
"598",0.160181935682631,0,2015,"Greivis Vasquez"
"406",0.159617784237533,0,2015,"Darius Morris"
"412",0.157248917540468,0,2015,"Timofey Mozgov"
"242",0.156935374820117,0,2015,"Jorge Gutierrez"
"247",0.156044271074852,0,2015,"Justin Hamilton"
"604",0.154233320212095,0,2015,"Dion Waiters"
"273",0.153214628213207,0,2015,"Ryan Hollins"
"410",0.151933263906131,0,2015,"Donatas Motiejunas"
"437",0.150453145659902,0,2015,"Kyle O'Quinn"
"418",0.150273372806962,0,2015,"Mike Muscala"
"297",0.148123913682197,0,2015,"Jonas Jerebko"
